,image_name,image_label,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9
0,BRACS_280_N_10,0,0.0,0.0,0.0,0.0,7.0985622,0.0,8.569376,0.0,0.0,0.0
1,BRACS_280_N_19,0,0.0,0.0,0.0,0.0,10.18496,0.0,12.132146,0.0,0.0,0.0
2,BRACS_1319_PB_8,1,0.0,0.0,0.0,7.820231,0.0,0.0,0.0,0.0,0.0,0.0
3,BRACS_280_N_18,0,0.0,0.0,0.0,0.0,5.099098,0.0,6.193035,0.0,0.0,0.0
4,BRACS_1319_PB_15,1,0.0,0.0,0.0,7.375187,0.0,0.0,0.0,0.0,0.0,0.0
5,BRACS_1324_PB_4,1,0.0,0.0,0.0,12.639292,0.0,0.0,0.0,0.0,0.0,0.0
6,BRACS_1242_PB_4,1,0.0,0.0,0.0,6.4424615,0.0,0.0,0.0,0.0,0.0,0.0
7,BRACS_1320_PB_18,1,0.0,0.0,0.0,6.4966927,0.0,0.0,0.0,0.0,0.0,0.0
8,BRACS_1239_PB_7,1,0.0,0.0,0.0,6.2597556,0.0,0.0,0.0,0.0,0.0,0.0
9,BRACS_760_N_10,0,0.0,0.0,0.0,0.0,11.902789,0.0,14.359731,0.0,0.0,0.0
10,BRACS_280_N_3,0,0.0,0.0,0.0,0.0,13.740294,0.0,16.355927,0.0,0.0,0.0
11,BRACS_1593_N_3,0,0.0,0.0,0.0,0.0,3.4756055,0.0,4.402526,0.0,0.0,0.0
12,BRACS_1486_PB_10,1,0.0,0.0,0.0,4.3825693,0.0,0.0,0.0,0.0,0.0,0.0
13,BRACS_1857_N_5,0,0.0,0.0,0.0,0.0,1.306111,0.0,1.7993108,0.0,0.0,0.0
14,BRACS_1496_UDH_10,1,0.0,0.0,0.0,3.1454356,0.0,0.0,0.0,0.0,0.0,0.0
15,BRACS_736_N_4,0,0.0,0.0,0.0,0.0,4.9071984,0.0,6.0199404,0.0,0.0,0.0
16,BRACS_1945_N_4,0,0.0,0.0,0.0,0.0,1.8612905,0.0,2.511614,0.0,0.0,0.0
17,BRACS_265_N_8,0,0.0,0.0,0.0,0.0,14.490058,0.0,17.50618,0.0,0.0,0.0
18,BRACS_1494_N_54,0,0.0,0.0,0.0,2.9315631,0.0,0.0,0.18663605,0.0,0.0,0.0
19,BRACS_1318_PB_2,1,0.0,0.0,0.0,7.57841,0.0,0.0,0.0,0.0,0.0,0.0
20,BRACS_1231_N_28,0,0.0,0.0,0.0,7.357302,0.0,0.0,0.0,0.0,0.0,0.0
21,BRACS_297_N_10,0,0.0,0.0,0.0,1.1398172,0.0,0.0,0.05767563,0.0,0.0,0.0
22,BRACS_1272_UDH_44,1,0.0,0.0,0.0,7.306707,0.0,0.0,0.0,0.0,0.0,0.0
23,BRACS_1318_PB_4,1,0.0,0.0,0.0,7.4283133,0.0,0.0,0.0,0.0,0.0,0.0
24,BRACS_1239_PB_2,1,0.0,0.0,0.0,7.7364955,0.0,0.0,0.0,0.0,0.0,0.0
25,BRACS_1255_PB_3,1,0.0,0.0,0.0,7.6716566,0.0,0.0,0.0,0.0,0.0,0.0
26,BRACS_1235_N_8,0,0.0,0.0,0.0,6.078753,0.0,0.0,0.0,0.0,0.0,0.0
27,BRACS_1584_N_1,0,0.0,0.0,0.0,0.0,12.425594,0.0,14.993238,0.0,0.0,0.0
28,BRACS_1319_PB_16,1,0.0,0.0,0.0,6.3388095,0.0,0.0,0.0,0.0,0.0,0.0
29,BRACS_297_N_19,0,0.0,0.0,0.0,0.0,5.6208963,0.0,6.811558,0.0,0.0,0.0
30,BRACS_1409_UDH_2,1,0.0,0.0,0.0,5.195884,0.0,0.0,0.0,0.0,0.0,0.0
31,BRACS_264_N_12,0,0.0,0.0,0.0,0.0,4.1900597,0.0,5.094444,0.0,0.0,0.0
32,BRACS_292_N_2,0,0.0,0.0,0.0,0.0,9.446696,0.0,11.342174,0.0,0.0,0.0
33,BRACS_1494_UDH_20,1,0.0,0.0,0.0,3.9029279,0.0,0.0,0.04211489,0.0,0.0,0.0
34,BRACS_281_N_9,0,0.0,0.0,0.0,0.0,1.0618907,0.0,1.526762,0.0,0.0,0.0
35,BRACS_1235_PB_10,1,0.0,0.0,0.0,1.9939865,0.0,0.0,0.0,0.0,0.0,0.0
36,BRACS_1865_N_6,0,0.0,0.0,0.0,0.0,8.773059,0.0,10.549219,0.0,0.0,0.0
37,BRACS_1511_N_2,0,0.0,0.0,0.0,0.0,3.803361,0.0,4.8209596,0.0,0.0,0.0
38,BRACS_1324_PB_8,1,0.0,0.0,0.0,6.924587,0.0,0.0,0.0,0.0,0.0,0.0
39,BRACS_1235_N_12,0,0.0,0.0,0.0,0.0,4.006256,0.0,5.084249,0.0,0.0,0.0
40,BRACS_760_N_11,0,0.0,0.0,0.0,0.0,24.063828,0.0,29.04226,0.0,0.0,0.0
41,BRACS_760_N_15,0,0.0,0.0,0.0,0.0,14.185212,0.0,17.195442,0.0,0.0,0.0
42,BRACS_1231_PB_33,1,0.0,0.0,0.0,11.683695,0.0,0.0,0.0,0.0,0.0,0.0
43,BRACS_1257_PB_3,1,0.0,0.0,0.0,5.989927,0.0,0.0,0.0,0.0,0.0,0.0
44,BRACS_1251_PB_2,1,0.0,0.0,0.0,5.191982,0.0,0.0,0.0,0.0,0.0,0.0
45,BRACS_1945_N_11,0,0.0,0.0,0.0,0.0,3.2947505,0.0,4.2106056,0.0,0.0,0.0
46,BRACS_734_N_24,0,0.0,0.0,0.0,0.0,2.441323,0.0,3.0984209,0.0,0.0,0.0
47,BRACS_734_N_75,0,0.0,0.0,0.0,0.0,1.7121035,0.0,2.2481647,0.0,0.0,0.0
48,BRACS_734_N_10,0,0.0,0.0,0.0,3.114757,0.0,0.0,0.0,0.0,0.0,0.0
49,BRACS_300_N_15,0,0.0,0.0,0.0,0.0,3.346931,0.0,4.105748,0.0,0.0,0.0
50,BRACS_1496_PB_20,1,0.0,0.0,0.0,5.015183,0.0,0.0,0.0,0.0,0.0,0.0
51,BRACS_1494_UDH_49,1,0.0,0.0,0.0,8.067243,0.0,0.0,0.0,0.0,0.0,0.0
52,BRACS_300_N_14,0,0.0,0.0,0.0,0.0,2.7750354,0.0,3.53718,0.0,0.0,0.0
53,BRACS_1238_PB_21,1,0.0,0.0,0.0,6.252254,0.0,0.0,0.0,0.0,0.0,0.0
54,BRACS_1238_PB_29,1,0.0,0.0,0.0,6.542894,0.0,0.0,0.0,0.0,0.0,0.0
55,BRACS_1886_N_6,0,0.0,0.0,0.0,0.0,4.1874776,0.0,5.150152,0.0,0.0,0.0
56,BRACS_1231_N_27,0,0.0,0.0,0.0,4.418303,0.0,0.0,0.0,0.0,0.0,0.0
57,BRACS_1496_UDH_18,1,0.0,0.0,0.0,6.5321407,0.0,0.0,0.0,0.0,0.0,0.0
58,BRACS_1238_UDH_49,1,0.0,0.0,0.0,7.8004594,0.0,0.0,0.0,0.0,0.0,0.0
59,BRACS_1238_UDH_30,1,0.0,0.0,0.0,8.464906,0.0,0.0,0.0,0.0,0.0,0.0
60,BRACS_280_N_12,0,0.0,0.0,0.0,0.0,5.685398,0.0,6.962607,0.0,0.0,0.0
61,BRACS_734_N_67,0,0.0,0.0,0.0,0.0,2.5284572,0.0,3.2121036,0.0,0.0,0.0
62,BRACS_283_N_10,0,0.0,0.0,0.0,0.67878735,0.0,0.0,0.2593844,0.0,0.0,0.0
63,BRACS_1857_N_6,0,0.0,0.0,0.0,0.0,1.9770633,0.0,2.6457129,0.0,0.0,0.0
64,BRACS_1320_PB_6,1,0.0,0.0,0.0,5.4364038,0.0,0.0,0.0,0.0,0.0,0.0
65,BRACS_1945_N_16,0,0.0,0.0,0.0,0.14885077,0.8099356,0.0,1.263674,0.0,0.0,0.0
66,BRACS_1319_PB_18,1,0.0,0.0,0.0,6.2525973,0.0,0.0,0.0,0.0,0.0,0.0
67,BRACS_283_N_35,0,0.0,0.0,0.0,0.0,2.8756254,0.0,3.5683458,0.0,0.0,0.0
68,BRACS_281_N_27,0,0.0,0.0,0.0,0.0,6.0295553,0.0,7.4890785,0.0,0.0,0.0
69,BRACS_1244_PB_1,1,0.0,0.0,0.0,1.0664407,0.0,0.0,0.3044319,0.0,0.0,0.0
70,BRACS_760_N_18,0,0.0,0.0,0.0,0.0,5.7717423,0.0,7.0320826,0.0,0.0,0.0
71,BRACS_1231_PB_37,1,0.0,0.0,0.0,6.6423593,0.0,0.0,0.0,0.0,0.0,0.0
72,BRACS_265_N_12,0,0.0,0.0,0.0,0.0,5.6135774,0.0,6.920607,0.0,0.0,0.0
73,BRACS_288_N_9,0,0.0,0.0,0.0,0.0,3.9271924,0.0,4.981804,0.0,0.0,0.0
74,BRACS_734_N_103,0,0.0,0.0,0.0,0.0,0.90869975,0.0,1.2892209,0.0,0.0,0.0
75,BRACS_288_N_10,0,0.0,0.0,0.0,0.0,9.068953,0.0,10.933243,0.0,0.0,0.0
76,BRACS_1865_N_2,0,0.0,0.0,0.0,0.0,3.8445199,0.0,4.7910967,0.0,0.0,0.0
77,BRACS_286_N_32,0,0.0,0.0,0.0,0.0,7.051524,0.0,8.593056,0.0,0.0,0.0
78,BRACS_1235_PB_5,1,0.0,0.0,0.0,3.741655,0.0,0.0,0.0,0.0,0.0,0.0
79,BRACS_1480_PB_2,1,0.0,0.0,0.0,6.7958083,0.0,0.0,0.0,0.0,0.0,0.0
80,BRACS_280_N_16,0,0.0,0.0,0.0,0.0,4.341556,0.0,5.3482485,0.0,0.0,0.0
81,BRACS_1640_N_2,0,0.0,0.0,0.0,0.0,1.4196287,0.0,1.9474695,0.0,0.0,0.0
82,BRACS_297_N_20,0,0.0,0.0,0.0,0.0,14.222096,0.0,16.949877,0.0,0.0,0.0
83,BRACS_1409_UDH_7,1,0.0,0.0,0.0,8.5241995,0.0,0.0,0.0,0.0,0.0,0.0
84,BRACS_1255_PB_4,1,0.0,0.0,0.0,6.267382,0.0,0.0,0.0,0.0,0.0,0.0
85,BRACS_1270_PB_1,1,0.0,0.0,0.0,2.7905476,0.0,0.0,0.1836194,0.0,0.0,0.0
86,BRACS_1409_UDH_8,1,0.0,0.0,0.0,6.8940377,0.0,0.0,0.0,0.0,0.0,0.0
87,BRACS_1238_PB_40,1,0.0,0.0,0.0,6.275401,0.0,0.0,0.0,0.0,0.0,0.0
88,BRACS_1231_N_18,0,0.0,0.0,0.0,8.8471,0.0,0.0,0.0,0.0,0.0,0.0
89,BRACS_1251_PB_5,1,0.0,0.0,0.0,5.8848867,0.0,0.0,0.0,0.0,0.0,0.0
90,BRACS_1486_PB_4,1,0.0,0.0,0.0,5.7211676,0.0,0.0,0.0,0.0,0.0,0.0
91,BRACS_760_N_1,0,0.0,0.0,0.0,0.0,3.0919664,0.0,3.9098134,0.0,0.0,0.0
92,BRACS_1485_N_4,0,0.0,0.0,0.0,0.7726569,0.4676811,0.0,0.89772856,0.0,0.0,0.0
93,BRACS_1231_N_38,0,0.0,0.0,0.0,2.367029,0.0,0.0,0.24896955,0.0,0.0,0.0
94,BRACS_295_N_26,0,0.0,0.0,0.0,1.1932405,0.0,0.0,0.11634733,0.0,0.0,0.0
95,BRACS_1239_PB_4,1,0.0,0.0,0.0,4.9197383,0.0,0.0,0.0,0.0,0.0,0.0
96,BRACS_1257_PB_4,1,0.0,0.0,0.0,5.1771727,0.0,0.0,0.0,0.0,0.0,0.0
97,BRACS_1508_N_3,0,0.0,0.0,0.0,0.0,6.8890715,0.0,8.413284,0.0,0.0,0.0
98,BRACS_1231_PB_14,1,0.0,0.0,0.0,9.518464,0.0,0.0,0.0,0.0,0.0,0.0
99,BRACS_1319_PB_4,1,0.0,0.0,0.0,6.1599803,0.0,0.0,0.0,0.0,0.0,0.0
100,BRACS_1238_PB_33,1,0.0,0.0,0.0,11.16551,0.0,0.0,0.0,0.0,0.0,0.0
101,BRACS_1926_N_3,0,0.0,0.0,0.0,0.0,1.169835,0.0,1.718582,0.0,0.0,0.0
102,BRACS_1318_PB_1,1,0.0,0.0,0.0,7.208999,0.0,0.0,0.0,0.0,0.0,0.0
103,BRACS_1494_UDH_40,1,0.0,0.0,0.0,9.14936,0.0,0.0,0.0,0.0,0.0,0.0
104,BRACS_1494_UDH_37,1,0.0,0.0,0.0,8.965576,0.0,0.0,0.0,0.0,0.0,0.0
105,BRACS_1494_UDH_55,1,0.0,0.0,0.0,6.0004306,0.0,0.0,0.0,0.0,0.0,0.0
106,BRACS_734_N_31,0,0.0,0.0,0.0,0.0,1.1160985,0.0,1.5241271,0.0,0.0,0.0
107,BRACS_1645_N_1,0,0.0,0.0,0.0,0.0,30.903603,0.0,36.940315,0.0,0.0,0.0
108,BRACS_1324_PB_5,1,0.0,0.0,0.0,14.886266,0.0,0.0,0.0,0.0,0.0,0.0
109,BRACS_1409_UDH_3,1,0.0,0.0,0.0,11.986467,0.0,0.0,0.0,0.0,0.0,0.0
110,BRACS_1318_PB_10,1,0.0,0.0,0.0,7.0443373,0.0,0.0,0.0,0.0,0.0,0.0
111,BRACS_1324_PB_3,1,0.0,0.0,0.0,8.98643,0.0,0.0,0.0,0.0,0.0,0.0
112,BRACS_1259_PB_3,1,0.0,0.0,0.0,6.6949635,0.0,0.0,0.0,0.0,0.0,0.0
113,BRACS_734_N_26,0,0.0,0.0,0.0,0.0,3.1806607,0.0,3.9785504,0.0,0.0,0.0
114,BRACS_1640_N_9,0,0.0,0.0,0.0,0.0,1.4359201,0.0,2.0388467,0.0,0.0,0.0
115,BRACS_1240_PB_10,1,0.0,0.0,0.0,5.73296,0.0,0.0,0.0,0.0,0.0,0.0
116,BRACS_1904_N_3,0,0.0,0.0,0.0,0.0,5.0380254,0.0,6.2383747,0.0,0.0,0.0
117,BRACS_736_N_6,0,0.0,0.0,0.0,0.0,8.499633,0.0,10.404245,0.0,0.0,0.0
118,BRACS_1253_PB_5,1,0.0,0.0,0.0,3.5343835,0.0,0.0,0.0,0.0,0.0,0.0
119,BRACS_1916_N_6,0,0.0,0.0,0.0,0.0,0.950366,0.0,1.3838629,0.0,0.0,0.0
120,BRACS_1238_PB_55,1,0.0,0.0,0.0,1.7006518,0.0,0.0,0.13295315,0.0,0.0,0.0
121,BRACS_1231_UDH_9,1,0.0,0.0,0.0,8.738357,0.0,0.0,0.0,0.0,0.0,0.0
122,BRACS_300_N_4,0,0.0,0.0,0.0,0.0,7.220291,0.0,8.700769,0.0,0.0,0.0
123,BRACS_292_N_5,0,0.0,0.0,0.0,0.0,13.266982,0.0,15.892038,0.0,0.0,0.0
124,BRACS_1496_UDH_26,1,0.0,0.0,0.0,5.1511016,0.0,0.0,0.0,0.0,0.0,0.0
125,BRACS_1496_UDH_3,1,0.0,0.0,0.0,5.030475,0.0,0.0,0.0,0.0,0.0,0.0
126,BRACS_1231_PB_11,1,0.0,0.0,0.0,7.716556,0.0,0.0,0.0,0.0,0.0,0.0
127,BRACS_1641_N_2,0,0.0,0.0,0.0,0.0,3.7205315,0.0,4.633885,0.0,0.0,0.0
128,BRACS_1608_N_2,0,0.0,0.0,0.0,0.0,2.5409284,0.0,3.3144026,0.0,0.0,0.0
129,BRACS_1272_UDH_39,1,0.0,0.0,0.0,4.440245,0.0,0.0,0.0,0.0,0.0,0.0
130,BRACS_1510_N_2,0,0.0,0.0,0.0,0.0,0.94398403,0.0,1.4244379,0.0,0.0,0.0
131,BRACS_265_N_9,0,0.0,0.0,0.0,0.0,3.6527023,0.0,4.4704895,0.0,0.0,0.0
132,BRACS_1272_UDH_34,1,0.0,0.0,0.0,6.3806853,0.0,0.0,0.0,0.0,0.0,0.0
133,BRACS_1238_PB_4,1,0.0,0.0,0.0,5.730957,0.0,0.0,0.0,0.0,0.0,0.0
134,BRACS_280_N_9,0,0.0,0.0,0.0,0.0,10.20178,0.0,12.121511,0.0,0.0,0.0
135,BRACS_1272_UDH_6,1,0.0,0.0,0.0,2.0305126,0.0,0.0,0.0,0.0,0.0,0.0
136,BRACS_1231_UDH_1,1,0.0,0.0,0.0,8.8726015,0.0,0.0,0.0,0.0,0.0,0.0
