,image_name,image_label,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31
0,BRACS_1235_N_12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016171973,0.0,0.0,0.0,0.0,1.8047444,0.0,0.0,0.0,0.0,2.6636643,0.0,0.0,1.0540087,2.2500925,0.0,3.1820216,0.0,0.0,1.8538028,0.0,0.0,0.0,0.0,1.5738842
1,BRACS_1591_N_6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26743424,0.0,0.0,0.0,0.0,4.179063,0.0,0.0,0.0,0.0,5.9842505,0.0,0.0,2.4806979,5.155868,0.0,7.11674,0.0,0.0,4.2987466,0.0,0.0,0.0,0.0,3.478893
2,BRACS_1594_N_5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68240106,0.0,0.0,0.0,0.0,1.0922662,0.0,0.0,0.3936813,0.91977745,0.0,1.3851655,0.0,0.0,0.73887646,0.0,0.0,0.0,0.0,0.6556872
3,BRACS_300_N_6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12545519,0.0,0.0,0.0,0.0,2.11495,0.0,0.0,0.0,0.0,3.0370166,0.0,0.0,1.2578293,2.6361825,0.0,3.6581833,0.0,0.0,2.221332,0.0,0.0,0.0,0.0,1.8333669
4,BRACS_760_N_2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20094042,0.0,0.0,0.0,0.0,4.6976895,0.0,0.0,0.0,0.0,6.6870584,0.0,0.0,2.7496517,5.677781,0.0,7.812221,0.0,0.0,4.729013,0.0,0.0,0.0,0.0,3.9060426
5,BRACS_1904_N_4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.105762064,0.0,0.0,0.0,0.0,2.9252028,0.0,0.0,0.0,0.0,4.1895742,0.0,0.0,1.713925,3.554534,0.0,4.916974,0.0,0.0,2.9776695,0.0,0.0,0.0,0.0,2.4886038
6,BRACS_1865_N_6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08991639,0.0,0.0,0.0,0.0,1.5542477,0.0,0.0,0.0,0.0,2.2437487,0.0,0.0,0.9275731,1.9664536,0.0,2.7420802,0.0,0.0,1.6611469,0.0,0.0,0.0,0.0,1.3822732
7,BRACS_1584_N_2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5374248,0.0,0.0,0.0,0.0,0.83065563,0.0,0.0,0.3097863,0.725368,0.0,1.0833999,0.0,0.0,0.6046881,0.0,0.0,0.0,0.0,0.5320207
8,BRACS_297_N_20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2557871,0.0,0.0,0.0,0.0,19.37458,0.0,0.0,0.0,0.0,27.170897,0.0,0.0,11.375562,23.341742,0.0,31.877768,0.0,0.0,19.488428,0.0,0.0,0.0,0.0,15.497696
9,BRACS_1593_N_4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12701526,0.0,0.0,0.0,0.0,3.3047361,0.0,0.0,0.0,0.0,4.7035413,0.0,0.0,1.9344691,3.9823165,0.0,5.492998,0.0,0.0,3.3486605,0.0,0.0,0.0,0.0,2.793818
