,image_name,image_label,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41,feat_42,feat_43,feat_44,feat_45,feat_46,feat_47,feat_48,feat_49,feat_50,feat_51,feat_52,feat_53,feat_54,feat_55,feat_56,feat_57,feat_58,feat_59,feat_60,feat_61,feat_62,feat_63
0,BRACS_1235_N_12,0,0.0,0.0,0.0,0.0,0.17622875,0.0,0.0,0.0,0.0,4.5022855,0.0,3.0883718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6617329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28451705,0.0,0.0,0.23306605,0.0,0.0,0.3467597,0.0,0.03970779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2979884,0.0,0.0,0.0,0.0,0.0,0.0
1,BRACS_1591_N_6,0,0.0,0.0,0.0,0.0,0.7954602,0.0,0.0,0.0,0.0,12.3502245,0.0,8.239223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03126101,0.0,0.0,0.0,0.0,2.7880397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5512229,0.0,0.0,0.5339416,0.0,0.0,1.7483622,0.0,0.10592098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.132098,0.0,0.0,0.0,0.0,0.0,0.0
2,BRACS_1594_N_5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7082534,0.0,1.1931404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010729045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13165185,0.0,0.005415082,0.1162785,0.0,0.0,0.021356046,0.0,0.017466402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6474736,0.0,0.0,0.0,0.0,0.0,0.0
3,BRACS_300_N_6,0,0.0,0.0,0.0,0.0,0.21688093,0.0,0.0,0.0,0.0,4.978572,0.0,3.3750043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011774266,0.0,0.0,0.0,0.0,0.939865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2501884,0.0,0.0,0.23592752,0.0,0.0,0.59118366,0.0,0.04295058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.535074,0.0,0.0,0.0,0.0,0.0,0.0
4,BRACS_760_N_2,0,0.0,0.0,0.0,0.0,0.7144829,0.0,0.0,0.0,0.0,10.896003,0.0,7.351397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010423786,0.0,0.0,0.0,0.0,2.1649137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.60188293,0.0,0.0,0.5039781,0.0,0.0,1.1823637,0.0,0.094181195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.221092,0.0,0.0,0.0,0.0,0.0,0.0
5,BRACS_1904_N_4,0,0.0,0.0,0.0,0.0,0.32441163,0.0,0.0,0.0,0.0,6.050084,0.0,4.1366754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0287099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36959654,0.0,0.0,0.2986303,0.0,0.0,0.5335822,0.0,0.052446205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7637944,0.0,0.0,0.0,0.0,0.0,0.0
6,BRACS_1865_N_6,0,0.0,0.0,0.0,0.0,0.026810363,0.0,0.0,0.0,0.0,2.926363,0.0,1.9983271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007668952,0.0,0.0,0.0,0.0,0.41262993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15751195,0.0,0.0,0.15267299,0.0,0.0,0.27952325,0.0,0.025698384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6578465,0.0,0.0,0.0,0.0,0.0,0.0
7,BRACS_1584_N_2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3504376,0.0,0.96425086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004008651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.114560984,0.0,0.06421524,0.09800198,0.0,0.0,0.0,0.0,0.0135516655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3056303,0.0,0.0,0.0,0.0,0.0,0.0
8,BRACS_297_N_20,0,0.0,0.0,0.0,0.0,2.616727,0.0,0.0,0.0,0.0,35.243713,0.0,23.246616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09918603,0.0,0.0,0.0,0.0,8.70138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4520829,0.0,0.0,1.4616992,0.0,0.0,5.4040847,0.0,0.30391717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.536753,0.0,0.0,0.0,0.0,0.0,0.0
9,BRACS_1593_N_4,0,0.0,0.0,0.0,0.0,0.25308526,0.0,0.0,0.0,0.0,5.182638,0.0,3.5528347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84345186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3208844,0.0,0.0,0.2612818,0.0,0.0,0.43502375,0.0,0.04518409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9443145,0.0,0.0,0.0,0.0,0.0,0.0
