sample_id,label,embedding_0,embedding_1,embedding_2,embedding_3,embedding_4,embedding_5,embedding_6,embedding_7,embedding_8,embedding_9
BRACS_1231_N_60,0,-0.1436418,-0.11031835,-0.0035625137,0.048944384,0.06995234,0.088715464,-0.005816626,0.13860779,0.06515874,-0.019756563
BRACS_1231_PB_55,1,-0.0747865,-0.0477767,0.027056485,0.037169784,0.10332405,0.11321245,-0.051616296,0.04867097,0.07791904,-0.058468558
BRACS_1231_PB_6,1,-0.0909171,-0.053579856,0.021246739,0.036018185,0.09331412,0.113118194,-0.036143564,0.06356801,0.0636688,-0.053861048
BRACS_1231_PB_7,1,-0.08263564,-0.0422685,0.022866324,0.028171347,0.0930223,0.13077539,-0.040932577,0.041818626,0.06641629,-0.05589175
BRACS_1238_PB_45,1,-0.08869679,-0.048924956,0.019056126,0.028845007,0.09354833,0.1227072,-0.038110245,0.05253727,0.063275546,-0.061395098
BRACS_1319_PB_7,0,-0.0658488,-0.045398723,0.038066216,0.036001757,0.09460914,0.12826404,-0.06821297,0.04654658,0.07070868,-0.046189465
BRACS_1320_PB_20,1,-0.06948643,-0.045266576,0.03817434,0.038403187,0.0896052,0.13062115,-0.061791543,0.04883425,0.06498661,-0.043557845
BRACS_1508_N_3,0,-0.077468365,-0.04748416,0.031933233,0.031463988,0.09173657,0.13595712,-0.044172194,0.04531255,0.053013798,-0.03652445
BRACS_1582_PB_2,0,-0.07176105,-0.043300815,0.03371972,0.035168964,0.09006811,0.13060081,-0.058182675,0.04609351,0.06116259,-0.042725034
BRACS_1584_N_2,1,-0.06883597,-0.047550652,0.03854558,0.037452873,0.09815409,0.12634158,-0.06784148,0.04645533,0.0783745,-0.05346305
BRACS_1591_N_6,0,-0.12666017,-0.083018,-0.015166711,0.040679887,0.07726695,0.09319539,0.010208983,0.09431657,0.051649913,-0.043633327
BRACS_1599_N_2,1,-0.087767124,-0.04571928,0.02773489,0.03880182,0.081807785,0.14172962,-0.027291846,0.035251945,0.056853555,-0.034853086
BRACS_1610_PB_1,0,-0.08911678,-0.04884666,0.014132876,0.032192856,0.083487034,0.120124854,-0.026688438,0.04464067,0.054913603,-0.04569216
BRACS_1787_PB_4,1,-0.07557784,-0.04919585,0.030739829,0.036266103,0.09593703,0.121889696,-0.05687574,0.049676433,0.074355155,-0.055864766
BRACS_1789_UDH_5,0,-0.082761735,-0.045368005,0.021454245,0.03580608,0.095073834,0.121362664,-0.043603856,0.04405807,0.05801973,-0.04872591
BRACS_1886_N_4,0,-0.08094254,-0.048714317,0.022462677,0.03257616,0.0901438,0.11872305,-0.049608376,0.051360838,0.06758974,-0.053974047
BRACS_1918_N_10,1,-0.09091438,-0.048643276,0.020149522,0.026153643,0.09402631,0.12380551,-0.03858212,0.052473746,0.0659457,-0.06529637
BRACS_1945_N_16,0,-0.06335121,-0.0453334,0.043246895,0.040369228,0.09609333,0.12835327,-0.074491195,0.047576092,0.077948384,-0.047973428
BRACS_300_N_9,1,-0.0749401,-0.047448523,0.028200664,0.036613807,0.10336623,0.116913885,-0.056657564,0.045948245,0.07801677,-0.05907623
BRACS_760_N_17,0,-0.06558244,-0.046486318,0.04144164,0.038752243,0.093533896,0.13232835,-0.06674224,0.049516715,0.06764156,-0.04485885
